pID,bID,bAdi,pAdi
8157,27006,Bedir,Ukkâşe b. Mihsan
8157,27009,Uhud,Ukkâşe b. Mihsan
8157,27015,Hendek,Ukkâşe b. Mihsan
8118,27015,Hendek,Uveymir b. Âmr
8118,27029,yermuk,Uveymir b. Âmr
8118,27028,şam fethi,Uveymir b. Âmr
8131,27006,Bedir,Zeyd b. Hattâb
8131,27009,Uhud,Zeyd b. Hattâb
8131,27015,Hendek,Zeyd b. Hattâb
8131,27040,yemame,Zeyd b. Hattâb
8116,27006,Bedir,Zeyd b. Sehl
8116,27009,Uhud,Zeyd b. Sehl
8116,27015,Hendek,Zeyd b. Sehl
8116,27022,Huneyn,Zeyd b. Sehl
8148,27004,Aşire,Zübeyr b. Avvâm
8148,27005,NAHLE SERİYYESİ,Zübeyr b. Avvâm
8148,27006,Bedir,Zübeyr b. Avvâm
8148,27007,Beni Kaynuka,Zübeyr b. Avvâm
8148,27008,SAWIQ,Zübeyr b. Avvâm
8148,27009,Uhud,Zübeyr b. Avvâm
8148,27010,Hamrâülesed,Zübeyr b. Avvâm
8148,27011,Benî Nadr,Zübeyr b. Avvâm
8148,27012,Bedrü'l Mev'id,Zübeyr b. Avvâm
8148,27013,Zatürrika,Zübeyr b. Avvâm
8148,27014,Devmetü’l-Cendel,Zübeyr b. Avvâm
8148,27015,Hendek,Zübeyr b. Avvâm
8148,27016,Benî Kurayza,Zübeyr b. Avvâm
8148,27017,BANU LAHYAN,Zübeyr b. Avvâm
8148,27018,DHU QARAD,Zübeyr b. Avvâm
8148,27019,Hayber,Zübeyr b. Avvâm
8148,27020,Mûte,Zübeyr b. Avvâm
8148,27021,Mekke Fethi,Zübeyr b. Avvâm
8148,27022,Huneyn,Zübeyr b. Avvâm
8148,27023,Taif,Zübeyr b. Avvâm
8148,27024,Tebük,Zübeyr b. Avvâm
8148,27025,cemel,Zübeyr b. Avvâm
8148,27029,yermuk,Zübeyr b. Avvâm
8148,27030,misir fethi,Zübeyr b. Avvâm
